symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2024-05-08 08:00:00+00:00,517.37,517.39,517.31,517.31,3394.0,65.0,517.319683
SPY,2024-05-08 08:15:00+00:00,517.41,517.63,517.4,517.63,1391.0,12.0,517.562308
SPY,2024-05-08 08:30:00+00:00,517.54,517.54,517.26,517.26,3239.0,22.0,517.345726
SPY,2024-05-08 08:45:00+00:00,517.32,517.32,517.18,517.18,2069.0,24.0,517.244971
SPY,2024-05-08 09:00:00+00:00,517.16,517.35,517.15,517.3,4638.0,29.0,517.308106
SPY,2024-05-08 09:15:00+00:00,517.16,517.27,517.16,517.27,1385.0,13.0,517.19059
SPY,2024-05-08 09:30:00+00:00,517.19,517.35,517.19,517.35,2515.0,16.0,517.212762
SPY,2024-05-08 09:45:00+00:00,517.45,517.52,517.35,517.35,1161.0,11.0,517.461747
SPY,2024-05-08 10:00:00+00:00,517.3,517.43,517.08,517.22,5984.0,44.0,517.200168
SPY,2024-05-08 10:15:00+00:00,517.12,517.27,517.12,517.27,1423.0,10.0,517.240313
SPY,2024-05-08 10:30:00+00:00,517.32,517.32,516.95,517.17,14508.0,72.0,517.064482
SPY,2024-05-08 10:45:00+00:00,517.12,517.31,516.96,516.98,4550.0,23.0,517.130112
SPY,2024-05-08 11:00:00+00:00,516.84,516.87,516.47,516.67,35453.0,270.0,516.706489
SPY,2024-05-08 11:15:00+00:00,516.64,516.7,516.45,516.49,33278.0,204.0,516.524006
SPY,2024-05-08 11:30:00+00:00,516.42,516.56,516.29,516.56,107643.0,455.0,516.436378
SPY,2024-05-08 11:45:00+00:00,516.6,516.64,516.41,516.47,54669.0,234.0,516.573303
SPY,2024-05-08 12:00:00+00:00,516.59,517.37,515.84,515.84,142694.0,1508.0,516.33109
SPY,2024-05-08 12:15:00+00:00,515.77,515.79,515.37,515.42,138790.0,973.0,515.659316
SPY,2024-05-08 12:30:00+00:00,515.52,515.6,514.979,515.32,130057.0,906.0,515.266446
SPY,2024-05-08 12:45:00+00:00,515.32,515.45,515.21,515.41,70926.0,574.0,515.292401
SPY,2024-05-08 13:00:00+00:00,515.46,515.55,515.34,515.45,54031.0,560.0,515.444464
SPY,2024-05-08 13:15:00+00:00,515.5,515.5488,515.17,515.25,85517.0,878.0,515.372178
SPY,2024-05-08 13:30:00+00:00,515.26,515.935,515.14,515.86,2426738.0,23475.0,515.638144
SPY,2024-05-08 13:45:00+00:00,515.88,516.53,515.84,516.5085,2077863.0,21621.0,516.226932
SPY,2024-05-08 14:00:00+00:00,516.495,516.68,516.04,516.1757,1619824.0,21756.0,516.380327
SPY,2024-05-08 14:15:00+00:00,516.18,517.12,516.15,516.9,1524681.0,28692.0,516.687292
SPY,2024-05-08 14:30:00+00:00,516.905,517.185,516.695,517.13,1185210.0,13177.0,516.940307
SPY,2024-05-08 14:45:00+00:00,517.125,517.7171,517.105,517.395,1503281.0,13898.0,517.451979
SPY,2024-05-08 15:00:00+00:00,517.395,517.6797,516.94,516.985,1323717.0,12147.0,517.244983
SPY,2024-05-08 15:15:00+00:00,517.0,517.22,516.635,517.03,1472190.0,13780.0,516.952524
SPY,2024-05-08 15:30:00+00:00,517.02,517.26,516.71,516.797,906883.0,9689.0,517.013973
SPY,2024-05-08 15:45:00+00:00,516.7981,517.015,516.64,516.81,784299.0,8579.0,516.834626
SPY,2024-05-08 16:00:00+00:00,516.8,517.03,516.63,516.88,1106429.0,9949.0,516.820044
SPY,2024-05-08 16:15:00+00:00,516.89,517.12,516.8,516.83,822581.0,6846.0,516.949468
SPY,2024-05-08 16:30:00+00:00,516.83,516.86,516.26,516.58,1305750.0,9719.0,516.595976
SPY,2024-05-08 16:45:00+00:00,516.57,516.96,516.48,516.63,673359.0,7795.0,516.734891
SPY,2024-05-08 17:00:00+00:00,516.64,516.87,516.1,516.6501,1080887.0,10933.0,516.564353
SPY,2024-05-08 17:15:00+00:00,516.65,516.69,516.17,516.29,864925.0,8435.0,516.447215
SPY,2024-05-08 17:30:00+00:00,516.28,516.79,516.2,516.77,751986.0,8302.0,516.473916
SPY,2024-05-08 17:45:00+00:00,516.77,517.1001,516.69,517.07,783915.0,9159.0,516.895421
SPY,2024-05-08 18:00:00+00:00,517.07,517.35,516.9197,517.29,722438.0,8505.0,517.136881
SPY,2024-05-08 18:15:00+00:00,517.29,517.395,516.94,517.26,875962.0,10268.0,517.191542
SPY,2024-05-08 18:30:00+00:00,517.27,517.42,517.07,517.185,645829.0,7822.0,517.246534
SPY,2024-05-08 18:45:00+00:00,517.19,517.32,516.89,517.0099,979667.0,8616.0,517.113056
SPY,2024-05-08 19:00:00+00:00,517.0,517.09,516.5699,517.02,1358690.0,11458.0,516.898374
SPY,2024-05-08 19:15:00+00:00,517.01,517.47,516.945,517.31,1749075.0,12579.0,517.313391
SPY,2024-05-08 19:30:00+00:00,517.305,517.53,517.27,517.4387,1321350.0,13253.0,517.402955
SPY,2024-05-08 19:45:00+00:00,517.43,517.74,517.19,517.19,5535510.0,44601.0,517.499325
SPY,2024-05-08 20:00:00+00:00,517.18,517.2873,516.88,516.88,3851682.0,2872.0,517.162325
SPY,2024-05-08 20:15:00+00:00,516.9,517.2873,516.81,516.92,1300085.0,1017.0,517.169687
SPY,2024-05-08 20:30:00+00:00,516.9198,516.99,516.86,516.95,300766.0,659.0,516.946464
SPY,2024-05-08 20:45:00+00:00,516.93,517.11,516.85,517.03,93670.0,410.0,516.993451
SPY,2024-05-08 21:00:00+00:00,517.04,517.05,516.94,516.94,33545.0,100.0,516.968938
SPY,2024-05-08 21:15:00+00:00,517.0,517.01,516.91,516.91,7828.0,90.0,516.960343
SPY,2024-05-08 21:30:00+00:00,516.94,516.94,516.76,516.87,24257.0,198.0,516.824126
SPY,2024-05-08 21:45:00+00:00,516.8,516.86,516.77,516.85,10083.0,157.0,516.831011
SPY,2024-05-08 22:00:00+00:00,516.85,517.06,516.85,517.06,39053.0,237.0,516.926963
SPY,2024-05-08 22:15:00+00:00,517.04,517.25,517.04,517.25,27051.0,204.0,517.151415
